Key,Source,Context,Changes,English,French,German,Klingon,Spanish
44MagnumPartsRecipeDesc,progression,Skill,KgNone,Learn how to craft 44 Magnum Parts using a Weapon Smithing Parts,Apprenez à fabriquer 44 pièces Magnum à l'aide d'une arme Smithing Parts,"Erfahren Sie, wie man 44 Magnum-Teile mit einem Waffen-Schmieden Teile",,Aprenda a fabricar 44 partes de Magnum usando una pieza de Smithing de armas
MP5RecipeDesc,progression,Skill,KgNone,Learn how to assemble a MP 5 SMG,Apprenez à assembler un MP 5 SMG,"Erfahren Sie, wie ein MP 5 SMG zusammengebaut wird",,Aprenda a montar un MP 5 SMG
MP5PartsRecipeDesc,progression,Skill,KgNone,Learn how to craft MP5 SMG Parts using a Weapon Smithing Station,Apprenez à fabriquer des pièces SMG MP5 en utilisant une station de forgeage d'armes,"Erlernen Sie, wie man MP5 SMG Teile unter Verwendung einer Waffen-Smithing-Station herstellt",,Aprenda a fabricar piezas MPG SMG usando una estación de forja de armas
SniperRifleRecipeDesc,progression,Skill,KgNone,Learn how to assemble a Sniper Rifle,Apprenez à assembler un fusil de sniper,"Erfahren Sie, wie ein Sniper Rifle zusammenzubauen",,Aprenda a montar un rifle de francotirador
SniperRiflePartsRecipeDesc,progression,Skill,KgNone,Learn how to craft Sniper Rifle Parts using a Weapon Smithing Station,Apprenez à fabriquer des pièces de fusil de sniper à l'aide d'une station de forgeage d'armes,"Erlernen Sie, wie man Scharfschützen-Gewehr-Teile unter Verwendung einer Waffen-Schmieden-Station herstellt",,Aprenda a fabricar piezas de rifles de francotirador usando una estación de Smithing de armas
FAMASRecipeDesc,progression,Skill,KgNone,"Learn how to assemble a FAMAS Rifle.  Can only be purchased by The Marksman Class.","Apprenez comment assembler un fusil FAMAS. Ne peut être acheté par la classe Marksman.","Erfahren Sie, wie eine FAMAS Gewehr zu montieren. Kann nur durch die Marksman-Klasse erworben werden.",,"Aprender a ensamblar un FAMAS rifle. Sólo puede ser comprado por la clase Marksman."
FAMASPartsRecipeDesc,progression,Skill,KgNone,Learn how to craft FAMAS Parts using a Weapon Smithing Station,Apprenez à fabriquer des pièces FAMAS à l'aide d'une station de forgeage d'armes,"Erlernen Sie, wie man FAMAS-Teile unter Verwendung einer Waffen-Schmiede-Station herstellt",,Aprenda a fabricar piezas FAMAS usando una estación de Smithing de armas
AK47RecipeDesc,progression,Skill,KgNone,Learn how to assemble a AK47 Rifle,Apprenez à assembler un fusil AK47,"Erlernen Sie, wie man ein AK47 Gewehr zusammenbaut",,Aprenda a montar un rifle AK47
AK47PartsRecipeDesc,progression,Skill,KgNone,Learn how to craft AK47 Parts using a Weapon Smithing Station,Apprenez à fabriquer des pièces AK47 à l'aide d'une station de forgeage d'armes,"Erlernen Sie, wie man AK47 Teile mit einer Waffen-Schmiede-Station herstellt",,Aprenda a fabricar piezas AK47 usando una estación de forja de armas
BarettaShotgunRecipeDesc,progression,Skill,KgNone,"Learn how to assemble a Baretta Shotgun.  Can only be purchased by The Marksman Class.","Apprenez comment assembler un fusil Beretta. Ne peut être acheté par The Class Marksman.","Erfahren Sie, wie eine Beretta Schrotflinte zu montieren. Nur dies durch die Marksman-Klasse erworben werden.",,"Aprender a ensamblar una escopeta Beretta. Sólo puede ser comprado por la clase Marksman."
BarettaShotgunPartsRecipeDesc,progression,Skill,KgNone,Learn how to craft Baretta Shotgun Parts using a Weapon Smithing Station,Apprenez à fabriquer des pièces de fusil Baretta à l'aide d'une station de forgeage d'armes,"Erlernen Sie, wie man Baretta Schrotflinte-Teile unter Verwendung einer Waffen-Schmieden-Station herstellt",,Aprenda a fabricar Baretta Shotgun Parts usando una estación de Smithing de armas
M25SniperRifleRecipeDesc,progression,Skill,KgNone,"Learn how to assemble a M25 Sniper Rifle.  Can only be purchased by the Marksman Class.","Apprenez à assembler un fusil de sniper M25. Ne peut être acheté par la classe Marksman.","Erfahren Sie, wie ein M25 Sniper Rifle zu montieren. Nur dies durch die Marksman-Klasse erworben werden.",,"Aprender a ensamblar un rifle de francotirador M25. Sólo puede ser comprado por la Clase del tirador."
M25SniperRiflePartsRecipeDesc,progression,Skill,KgNone,Learn how to craft M25 Sniper Rifle Parts using a Weapon Smithing Station,Apprenez à fabriquer des pièces de fusil de sniper M25 à l'aide d'une station de forgeage d'armes,"Erlernen Sie, wie man M25 Scharfschütze-Gewehr-Teile unter Verwendung einer Waffen-Smithing-Station herstellt",,Aprenda cómo hacer las piezas del rifle del francotirador M25 usando una estación de Smithing del arma
RocketLauncherRecipeDesc,progression,Skill,KgNone,Learn how to assemble a Rocket Launcher,Apprenez à assembler un lance-roquettes,"Erfahren Sie, wie ein Raketenwerfer zusammengebaut wird",,Aprenda cómo ensamblar un lanzador de cohetes
RocketLauncherPartsRecipeDesc,progression,Skill,KgNone,Learn how to craft Rocker Launcher Parts using a Weapon Smithing Station,Apprenez comment fabriquer des pièces de lancement de lance-roquettes à l'aide d'une station de forgeage d'armes,"Erfahren Sie, wie man Rocker Launcher Teile mit einer Waffe Schmieden Station",,Aprenda cómo hacer las piezas del lanzador basculante usando una estación de Smithing de armas
AdvancedWoodConstructionDesc,progression,Skill,KgNone,"Learn how to craft Wood Ramps, Corner, and Wedges","Apprenez à fabriquer des rampes en bois, des coins et des coins","Erfahren Sie, wie Handwerk Holz Rampen, Ecke und Wedges",,"Aprenda cómo diseñar rampas de madera, esquinas y cuñas"
ScrapIronConstructionDesc,progression,Skill,KgNone,"Learn how to craft Scrap Iron Frames, Ramps, Corners, and Wedges","Apprenez à fabriquer des cadres de ferraille, des rampes, des coins et des cales","Erfahren Sie, wie man Scrap Iron Frames, Rampen, Ecken und Wedges",,"Aprenda cómo diseñar cuadros de hierro chatarra, rampas, esquinas y cuñas"
ConcreteConstructionDesc,progression,Skill,KgNone,"Learn how to craft Rebar Frames, Ramps, Corners, and Wedges","Apprenez à fabriquer des cadres d'armature, des rampes, des coins et des cales","Erfahren Sie, wie Sie Rebar Frames, Rampen, Ecken und Wedges",,"Aprenda a diseñar marcos, rampas, esquinas y cuñas"
WrenchRecipeDesc,progression,Skill,KgNone,Learn how to craft a wrench,Apprenez à fabriquer une clé,"Erfahren Sie, wie man einen Schraubenschlüssel Handwerk",,Aprenda cómo diseñar una llave inglesa
HammerRecipeDesc,progression,Skill,KgNone,Learn how to craft a Claw Hammer,Apprenez à fabriquer un marteau à griffe,"Erlernen Sie, wie man einen Greifer-Hammer herstellt",,Aprenda cómo hacer un martillo de garra
HDNailgunRecipeDesc,progression,Skill,KgNone,Learn how to assemble a Heavy Duty Nailgun,Apprenez à assembler un nailgun Heavy Duty,"Erfahren Sie, wie eine Heavy Duty Nailgun zusammenzubauen",,Aprenda cómo ensamblar un Nailgun resistente
TailorsWorkstationDesc,progression,Skill,KgNone,Learn how to craft a Tailors Workstation used for Crafting Cloth type Armor,Apprenez à fabriquer un Tailors Workstation utilisé pour l'artisanat Type d'armure de tissu,"Erlernen Sie, wie man eine Schneiderarbeitsstation herstellt, die für Fertigkeit-Tuchart Rüstung benutzt wird",,Aprenda cómo diseñar una estación de trabajo de sastres usada para fabricar armadura tipo tela
ArmorSmithingWorkstationDesc,progression,Skill,KgNone,Learn how to craft a Armor Smithing Station used for Crafting Metal Type Armor,Apprenez à fabriquer une Armor Smithing Station utilisée pour fabriquer des armures de type métal,"Erlernen Sie, wie man eine Rüstungs-Smithing-Station für Crafting Metal Type Armor herstellt",,Aprenda cómo diseñar una estación de armadura Smithing utilizada para artesanía de tipo armadura de metal
AdvancedToolsWorkstationDesc,progression,Skill,KgNone,"Learn how to craft a Advanced Tools Workstation used for crafting Steel Tools, Tungsten Tools, plus more","Apprenez à concevoir une station de travail avancée pour les outils Steel Tools, Tungsten Tools et plus","Erlernen Sie, wie man eine vorgerückte Werkzeug-Arbeitsstation fertigt, die für crafting Stahlwerkzeuge, Wolfram-Werkzeuge und mehr benutzt wird",,"Aprenda a diseñar una estación de trabajo de herramientas avanzadas para la elaboración de herramientas de acero, herramientas de tungsteno y más"
WoodWorkingWorkstationDesc,progression,Skill,KgNone,"Learn how to craft a Wood Working Workstation used for crafting Cobblestone Blocks, Stairs, and Doors","Apprenez à fabriquer un poste de travail en bois utilisé pour fabriquer des blocs pavés, des escaliers et des portes","Erlernen Sie, wie man eine hölzerne Arbeitsarbeitsstation herstellt, die für das Crafting der Kopfsteinblöcke, der Treppen und der Türen benutzt wird",,"Aprenda a diseñar una estación de trabajo de trabajo de madera utilizada para la elaboración de bloques de adoquines, escaleras y puertas"
WeaponsSmithingWorkstationDesc,progression,Skill,KgNone,Learn how to craft a Weapons Smithing Workstation used to craft gun parts,Apprenez comment fabriquer une station de travail de Smithing d'armes utilisée pour fabriquer des pièces d'arme,"Erlernen Sie, wie man eine Waffen-Schmieden-Arbeitsstation fertigt, die benutzt wird, um Gewehrteile zu bilden",,Aprenda cómo diseñar una estación de trabajo de Smithing de armas usada para fabricar piezas de armas
BlueprintWorkstationDesc,progression,Skill,KgNone,Learn how to craft a Blueprint Workstation used for crafting Schematics and Recipes using Blueprint Paper,Apprenez à concevoir une station de travail Blueprint utilisée pour l'élaboration de schémas et de recettes à l'aide du papier Blueprint,"Erfahren Sie, wie Sie eine Blaupausen-Workstation für das Basteln von Schemata und Rezepten mit Blueprint Paper erstellen können",,Aprenda a diseñar una estación de trabajo Blueprint utilizada para elaborar esquemas y recetas utilizando Blueprint Paper
CategorizedStorageContainersDesc,progression,Skill,KgNone,Learn how to craft Categorized Storage Container,Apprenez à fabriquer des conteneur de rangement catégorisés,"Erfahren Sie, wie Categorized Storage Container Craft",,Aprenda cómo crear contenedores de almacenamiento categorizados
ComfortableSleepingDesc,progression,Skill,KgNone,Learn how to craft Beds,Apprenez à fabriquer des lits,"Lernen Sie, wie man Betten macht",,Aprenda a crear camas
FirstAidBandageDesc,progression,Skill,KgNone,Learn how to craft First Aid Bandages,Apprenez à fabriquer des bandages de premiers soins,"Erlernen Sie, wie man Erste-Hilfe-Verbände herstellt",,Aprenda a fabricar vendajes de primeros auxilios
FirstAidKitDesc,progression,Skill,KgNone,Learn how to craft a First Aid Kit,Apprenez à fabriquer une trousse de premiers soins,"Erfahren Sie, wie ein First Aid Kit gefertigt wird",,Aprenda cómo elaborar un kit de primeros auxilios
AntibioticsDesc,progression,Skill,KgNone,Learn how to craft Antibiotics,Apprenez à fabriquer des antibiotiques,"Erlernen Sie, wie man Antibiotika herstellt",,Aprenda cómo elaborar antibióticos
VitaminsDesc,progression,Skill,KgNone,Learn how to craft Vitamins,Apprenez à fabriquer des vitamines,"Erfahren Sie, wie man Vitamine",,Aprenda cómo elaborar vitaminas
AdvancedSplintSkillDesc,progression,Skill,KgNone,Learn how to craft a Advanced Splint,Apprenez à fabriquer une attelle avancée,"Erlernen Sie, wie man eine erweiterte Schiene fertigt",,Aprenda cómo diseñar una férula avanzada
HealthDeploySkillDesc,progression,Skill,KgNone,Learn how to craft a Health Deploy Block that emmits healing power,Apprenez comment créer un bloc de déploiement de santé qui émet une puissance curative,"Erlernen Sie, wie man einen Health Deploy Block herstellt, der heilende Kraft ausstrahlt",,Aprenda a diseñar un bloque de implementación de salud que emita energía curativa
ClothArmorDesc,progression,Skill,KgNone,Learn how to craft Cloth Armor,Aprenda a fabricar armadura de tela,"Erlernen Sie, wie man Tuch-Rüstung herstellt",,Aprenda a fabricar armadura de tela
LeatherArmorDesc,progression,Skill,KgNone,"Learn how to craft Leather Armor.  Can only be Purchased by The Protection Class.","Apprenez à fabriquer Armure de cuir. Ne peut être acheté par la classe de protection.","Erfahren Sie, wie Lederrüstung. Kann nur durch die Schutzklasse erworben werden.",,"Aprender a fabricar armaduras de cuero. Sólo pueden ser comprados por la clase de protección."
KevlarSkillDesc,progression,Skill,KgNone,Learn how to craft Kevlar,Apprenez à fabriquer Kevlar,"Erlernen Sie, wie man Kevlar herstellt",,Aprenda a fabricar Kevlar
KevlarArmorSkillDesc,progression,Skill,KgNone,"Learn how to craft Kevlar Armor.  Can only be Purchased by The Protection Class.","Apprenez à fabriquer Kevlar Armor. Ne peut être acheté par la classe de protection.","Erfahren Sie, wie Kevlar Rüstung. Kann nur durch die Schutzklasse erworben werden.",,
ScrapIronArmorDesc,progression,Skill,KgNone,"Learn how to craft Scrap Iron Armor.  Can only be Purchased by The Protection Class.","Apprenez à fabriquer ferraille Armor. Ne peut être acheté par la classe de protection.","Erfahren Sie, wie Alteisen Rüstung. Kann nur durch die Schutzklasse erworben werden.",,"Aprender cómo elaborar la chatarra armadura. Sólo pueden ser comprados por la clase de protección."
IronArmorDesc,progression,Skill,KgNone,"Learn how to craft Iron Armor.  Can only be Purchased by The Protection Class.","Apprenez à fabriquer Fer Armor. Ne peut être acheté par la classe de protection.","Erfahren Sie, wie Eisenrüstung. Kann nur durch die Schutzklasse erworben werden.",,"Más información sobre cómo el arte del hierro de armadura. Sólo pueden ser comprados por la clase de protección."
SteelArmorSkillDesc,progression,Skill,KgNone,"Learn how to craft Steel Armor.  Can only be Purchased by The Protection Class.","Apprenez à fabriquer Steel Armor. Ne peut être acheté par la classe de protection.","Erfahren Sie, wie Stahlrüstung. Kann nur durch die Schutzklasse erworben werden.",,"Aprender cómo elaborar acero de blindaje. Sólo pueden ser comprados por la clase de protección."
MilitaryArmorDesc,progression,Skill,KgNone,"Learn how to craft Military Armor.  Can only be Purchased by The Protection Class.","Apprenez à fabriquer Armure militaire. Ne peut être acheté par la classe de protection.","Erfahren Sie, wie Militärrüstung. Kann nur durch die Schutzklasse erworben werden.",,"Aprender cómo elaborar Militar Armor. Sólo pueden ser comprados por la clase de protección."
HazmatArmorDesc,progression,Skill,KgNone,"Learn how to craft Hazmat Armor.  Can only be purchased by a Scholar Class.","Apprenez à fabriquer Hazmat Armor. Ne peut être acheté par une classe Scholar.","Erfahren Sie, wie Hazmat Rüstung. Kann nur von einem Gelehrten Klasse erworben werden.",,"Aprender cómo elaborar materiales peligrosos armadura. Sólo puede ser comprado por una clase Académico."
TungstenArmorSkillDesc,progression,Skill,KgNone,"Learn how to craft Tungsten Armor.  Can only be Purchased by The Protection Class.","Apprenez à fabriquer Tungsten Armor. Ne peut être acheté par la classe de protection.","Erfahren Sie, wie Tungsten Rüstung. Kann nur durch die Schutzklasse erworben werden.",,"Aprender cómo elaborar tungsteno Armor. Sólo pueden ser comprados por la clase de protección."
RedTeaRecipeDesc,progression,Skill,KgNone,Learn how to craft Red Tea,Apprenez à fabriquer du thé rouge,"Erfahren Sie, wie man rotem Tee herstellt",,Aprenda a elaborar el té rojo
GreenTeaRecipeDesc,progression,Skill,KgNone,Learn how to craft Green Tea and Green Tea Extract,Apprenez à fabriquer le thé vert et l'extrait de thé vert,"Lernen Sie, wie man Grüner Tee und Grünteeextrakt herstellt",,Aprenda a elaborar té verde y extracto de té verde
AppleJuiceRecipeSkillDesc,progression,Skill,KgNone,Learn how to craft Apple Juice,Apprenez à fabriquer du jus de pomme,"Erfahren Sie, wie man Apfelsaft",,Aprenda cómo elaborar jugo de manzana
MossyBrewRecipeDesc,progression,Skill,KgNone,Learn how to craft Mossy Brew,Apprenez à fabriquer Mossy Brew,"Erfahren Sie, wie Mossy Brew Handwerk",,Aprenda cómo confeccionar Mossy Brew
VegetableStewRecipeDesc,progression,Skill,KgNone,Learn how to craft Vegetable Stew,Apprenez à fabriquer le ragoût de légumes,"Erfahren Sie, wie Gemüse-Eintopf",,Aprenda cómo elaborar estofado de verduras
ApplePieRecipeSkillDesc,progression,Skill,KgNone,Learn how to craft Apple Pie,Apprenez à fabriquer Apple Pie,"Erlernen Sie, wie man Apfelkuchen herstellt",,Aprenda a elaborar pastel de manzana
MushroomBearStewRecipeDesc,progression,Skill,KgNone,Learn how to craft Mushroom Bear Stew,Apprenez à fabriquer le ragoût d'ours aux champignons,"Erfahren Sie, wie Pilz Bear Stew",,Aprenda cómo hacer el guisado del oso de la seta
FishStewRecipeSkillDesc,progression,Skill,KgNone,Learn how to craft Fish Stew,Apprenez à fabriquer Fish Stew,"Erlernen Sie, wie man Fisch-Eintopfgericht fertigt",,Aprenda cómo elaborar Fish Stew
RepairKitDesc,progression,Skill,KgNone,Learn how to craft Repair Kits,Apprenez à confectionner des kits de réparation,"Erlernen Sie, wie man Reparatur-Installationssätze fertigt",Aprenda cómo confeccionar Kits de Reparación,
SpotlightDesc,progression,Skill,KgNone,"Learn how to craft a Spotlight.  Can only be Purchased by The Tradesman Class.","Apprenez à fabriquer un Spotlight. Ne peut être acheté par la classe Commerçant.","Erfahren Sie, wie ein Spotlight-Handwerk . Kann nur durch die Tradesman Klasse erworben werden.",,"Aprender cómo elaborar un reflector. Sólo pueden ser comprados por la clase comerciante."
VaultDoorDesc,progression,Skill,KgNone,"Learn how to craft a Vault Door.  Can only be Purchased by The Tradesman Class.","Apprenez à fabriquer une porte Vault. Ne peut être acheté par la classe Commerçant.","Erfahren Sie, wie eine Wölbung-Tür Handwerk . Kann nur durch die Tradesman Klasse erworben werden.",,"Aprende a diseñar una puerta de la bóveda. Sólo pueden ser comprados por la clase comerciante."
VaultHatchDesc,progression,Skill,KgNone,"Learn how to craft a Vault Hatch.  Can only be Purchased by The Tradesman Class.","Apprenez à fabriquer un coffre-fort Hatch. Ne peut être acheté par la classe Commerçant.","Erfahren Sie, wie ein Vault Hatch Handwerk . Kann nur durch die Tradesman Klasse erworben werden.",,"Aprende a diseñar una cámara acorazada Hatch. Sólo pueden ser comprados por la clase comerciante."
IronDoorCraftingDesc,progression,Skill,KgNone,Learn how to craft a Iron Door,Apprenez à fabriquer une porte en fer,"Erlernen Sie, wie man eine Eisen-Tür herstellt",,Aprenda cómo hacer una puerta de hierro
ScrapHatchCraftingDesc,progression,Skill,KgNone,Learn how to craft a Scrap Iron Hatch,Aprenda cómo diseñar una escotilla de chatarra,"Erfahren Sie, wie man eine Scrap Iron Hatch Handwerk",,Aprenda cómo diseñar una escotilla de chatarra
IronToolCraftingDesc,progression,Skill,KgNone,"Learn how to craft Iron Pickaxe, Fireaxe, and a Shovel","Apprenez à fabriquer une pioche de fer, une arme à feu et une pelle","Lernen Sie, wie man Iron Pickaxe, Fireaxe und eine Schaufel herstellt",,"Aprenda cómo elaborar una pica de hierro, una pistola de fuego y una pala"
SteelToolCraftingDesc,progression,Skill,KgNone,"Learn how to craft Steel Pickaxe, Fireaxe, and a Shovel","Apprenez à fabriquer des piquettes en acier, des armes à feu et une pelle","Erfahren Sie, wie man Stahl Pickaxe, Fireaxe und eine Schaufel",,"Aprenda cómo elaborar una pica de acero, una pistola de fuego y una pala"
TungstenToolsDesc,progression,Skill,KgNone,"Learn how to craft Tungsten Pickaxe, Fireaxe, and a Shovel","Apprenez à fabriquer Tungsten Pickaxe, Fireaxe, et une pelle","Erfahren Sie, wie Handwerk Wolfram Pickaxe, Fireaxe und eine Schaufel",,"Aprenda a fabricar pico de tungsteno, pistola de fuego y una pala"
ExplosivesDesc,progression,Skill,KgNone,"Learn how to craft Pipe Bombs, Dynamite and TNT.  Can only be purchased by a Scholar Class.","Apprenez à fabriquer des bombes artisanales, de la dynamite et TNT. Ne peut être acheté par une classe Scholar.","Erfahren Sie, wie Rohrbomben , Handwerk , Dynamit und TNT. Nur dies durch eine Scholar Klasse erworben werden.",,"Aprender cómo elaborar bombas de tubo, dinamita y TNT. Sólo puede ser comprado por una clase Académico."
MortarandPestleSkillDesc,progression,Skill,KgNone,"Learn how to craft a Mortar and Pestle used for crafting Seeds, Health and Food items","Apprenez à fabriquer un mortier et un pilon utilisés pour fabriquer des semences, de la santé et des aliments","Erlernen Sie, wie man einen Mörser und eine Stampfe herstellt, die für das Basteln der Samen, der Gesundheit und der Nahrungsmitteleinzelteile benutzt wird",,"Apprenez à fabriquer un mortier et un pilon utilisés pour fabriquer des semences, de la santé et des aliments"
AugerRecipeDesc,progression,Skill,KgNone,Learn how to assemble a Auger,Apprenez à assembler une tarière,"Erfahren Sie, wie eine Schnecke montiert wird",,Aprenda a montar una barrena
ECOAugerRecipeDesc,progression,Skill,KgNone,"Learn how to assemble Economic Auger.  Can only be Purchased by The Tradesman Class.","Apprenez à assembler Auger économique. Ne peut être acheté par la classe Commerçant.","Erfahren Sie, wie wirtschaftliche Auger zu montieren. Kann nur durch die Tradesman Klasse erworben werden.",,"Aprender a ensamblar Auger Económico. Sólo pueden ser comprados por la clase comerciante."
HDAugerRecipeDesc,progression,Skill,KgNone,"Learn how to assemble a Heavy Duty Auger.  Can only be Purchased by The Tradesman Class.","Apprenez à assembler un Heavy Duty Auger. Ne peut être acheté par la classe Commerçant.","Erfahren Sie, wie eine Heavy Duty Auger zu montieren. Kann nur durch die Tradesman Klasse erworben werden.",,"Aprender a ensamblar un Heavy Duty Auger. Sólo pueden ser comprados por la clase comerciante."
ChainsawRecipeDesc,progression,Skill,KgNone,Learn how to assemble a Chainsaw,Apprenez à assembler une tronçonneuse,"Erfahren Sie, wie eine Kettensäge zu montieren",,Aprenda a ensamblar una motosierra
ECOChainsawRecipeDesc,progression,Skill,KgNone,"Learn how to assemble a Economic Chainsaw.  Can only be Purchased by The Tradesman Class.","Apprenez à assembler à Chainsaw économique. Ne peut être acheté par la classe Commerçant.","Erfahren Sie, wie Wirtschafts Kettensäge zu montieren. Kann nur durch die Tradesman Klasse erworben werden.",,"Aprender a ensamblar una motosierra Económico. Sólo pueden ser comprados por la clase comerciante."
HDChainsawRecipeDesc,progression,Skill,KgNone,"Learn how to assemble a Heavy Duty Chainsaw.  Can only be Purchased by The Tradesman Class.","Apprenez à assembler un Heavy Duty Chainsaw. Ne peut être acheté par la classe Commerçant.","Erfahren Sie, wie eine Heavy Duty Kettensäge zu montieren. Kann nur durch die Tradesman Klasse erworben werden.",,"Aprender a ensamblar una motosierra para trabajo pesado. Sólo pueden ser comprados por la clase comerciante."
SpeedTrapRecipesDesc,progression,Skill,KgNone,"Learn how to craft Speed Trap, Fire Speed Trap and a Explosive Speed Trap.  Can only be Learned by The Survivalist Class","Apprenez à fabriquer Speed Trap, Piège Speed Fire et un piège de vitesse explosive. Ne peut être appris par la classe Survivalist","Erfahren Sie, wie Geschwindigkeit Trap Geschwindigkeit Trap Feuer und explosive Geschwindigkeit Trap Handwerk hat. Kann nur durch die Survivalist Klasse gelernt werden",,"Aprende a elaborar Fuego trampa de velocidad trampa de velocidad y la trampa de velocidad del explosivo. Solo puede ser aprendida por la clase Superviviente"
RestSet,items,Item,KgNone,Rest Set,,,,
RestSetDesc,items,Item,KgNone,Taking this will activate your rest levels at maximum level,Cela vous permettra d'activer vos niveaux de repos au niveau maximum,Auf diese Weise aktivieren Sie Ihre Ruhe-Levels auf höchstem Niveau,,Tomando esto activará sus niveles de descanso al nivel máximo
HDWrench,items,Item,KgNone,HD Wrench,,,,
HDWrenchDesc,items,Item,KgNone,"A Heavy Duty Wrench that will disassemble items faster.  Can only be crafted by The Tradesman Class or purchased at the Trader.","Un Heavy Duty Clé thatwill désassembler articles plus rapide. Ne peut être conçu par la classe Commerçant ou achetés au Trader.","Ein Heavy Duty-Schlüssel, die Elemente schneller auseinander nehmen wird. Kann nur durch die Tradesman Klasse gefertigt werden Sie Gold am Trader erworben.",,"Una Llave de alta resistencia que va a desmontar los elementos más rápido. Sólo puede ser elaborado por la clase comerciante que compró oro al comerciante."
ChickenRaw,items,Item,KgNone,Raw Chicken,,,,
ChickenRawDesc,items,Item,KgNone,"Raw Chicken can be cooked into Fried Chicken, Grilled Chicken, and Chicken Pot Pie","Le poulet cru peut être cuit en poulet frit, poulet grillé et tarte au poulet","Rohes Huhn kann in gebratenes Huhn, gegrilltes Huhn und Huhn-Topf-Torte gekocht werden",,"Pollo crudo se puede cocinar en pollo frito, pollo a la parrilla y pastel de pollo"
ChickenFried,items,Item,KgNone,Fried Chicken,,,,
ChickenFriedDesc,items,Item,KgNone,Eat some Fried Chicken or Don't,Mangez du poulet frit ou ne pas,Essen Sie etwas gebratenes Huhn oder tun Sie nicht,,Coma un poco de pollo frito o no
ChickenGrilled,items,Item,KgNone,Grilled Chicken,,,,
ChickenGrilledDesc,items,Item,KgNone,Grilled Chicken cooked like how your mom used to make it,Poulet grillé cuit comme la façon dont votre mère a utilisé pour le faire,"Gegrilltes Hähnchen gekocht wie, wie Ihre Mama verwendet, um es zu machen",,Pollo a la parrilla cocinado como su madre solía hacer
ChickenPotPie,items,Item,KgNone,Chicken Pot Pie,,,,
ChickenPotPieDesc,items,Item,KgNone,A nice Chicken Pot Pie that will warm your stomach and soothe your mind,Une délicieuse tarte au poulet qui réchauffera votre estomac et apaisera votre esprit,"Eine schöne Chicken Pot Pie, die Ihren Magen wärmt und Ihren Geist beruhigt",,Una tarta de pollo de pollo agradable que se caliente el estómago y calmar su mente
VenisonRaw,items,Item,KgNone,Raw Venison,,,,
VenisonRawDesc,items,Item,KgNone,"Raw Venison can be cooked into Fried Venison, Grilled Venison and Venison Stew","Le veau cru peut être cuit en viande de veau frit, viande de veau grillé et ragoût de venaison","Raw Wildbret kann in gebratenem Wildbret, gegrilltem Wildbret und Wildbret gekocht werden",,"El venado crudo se puede cocinar en el venado frito, el venado asado y el estofado de venado"
VenisonFried,items,Item,KgNone,Fried Venison,,,,
VenisonFriedDesc,items,Item,KgNone,Some fine Fried Venison,Quelques viandes fines,Einige feine gebratene Wildbret,,Un buen venado frito
VenisonGrilled,items,Item,KgNone,Grilled Venison,,,,
VenisonGrilledDesc,items,Item,KgNone,Grilled to Perfection this fine piece of Venison will serve you well,Grillé à la perfection ce joli morceau de Venaison vous servira bien,Gegrillt nach Perfektion dieses feine Stück Wildbret wird Ihnen gut dienen,,Asado a la perfección este pedazo fino de venado le servirá bien
VenisonStew,items,Item,KgNone,Venison Stew,,,,
VenisonStewDesc,items,Item,KgNone,Stew at its finest made with Venison in mind,Ragoût à son plus fin fait avec Venison à l'esprit,Stew von seiner besten gemacht mit Venison im Auge,,Guiso en su más fino hecho con venado en mente
PorkRaw,items,Item,KgNone,Raw Pork,,,,
PorkRawDesc,items,Item,KgNone,"Raw Port can be cooked into Fried Pork, Grilled Pork and Bacon and Eggs","Raw Port peut être cuit en porc frit, porc grillé et bacon et oeufs","Roher Hafen kann in gebratenes Schweinefleisch, gegrilltes Schweinefleisch und Speck und Eier gekocht werden",,"Raw Puerto se puede cocinar en cerdo frito, cerdo a la parrilla y tocino y huevos"
PorkFried,items,Item,KgNone,Fried Pork,,,,
PorkFriedDesc,items,Item,KgNone,Some old fashioned Fried Pork,Un vieux porc frit,Einige altmodische Fried Schweinefleisch,,Un poco de cerdo pasado de moda
PorkGrilled,items,Item,KgNone,Grilled Pork,,,,
PorkGrilledDesc,items,Item,KgNone,Pork Grilled at its finest,Porc Grillé à son meilleur,Schweinefleisch vom feinsten gegrillt,,Cerdo asado a la parrilla en su mejor
RabbitRaw,items,Item,KgNone,Raw Rabbit,,,,
RabbitRawDesc,items,Item,KgNone,"Raw Rabbit can be cooked into Rabbit on a Stick, Grilled Rabbit and Boiled Rabbit","Le lapin cru peut être cuit en lapin sur un bâton, un lapin grillé et un lapin bouilli","Rohes Kaninchen kann in Kaninchen auf einem Stock, gegrilltem Kaninchen und gekochtem Kaninchen gekocht werden",,"El conejo crudo se puede cocinar en conejo en un palillo, conejo asado a la parilla y conejo hervido"
RabbitonaStick,items,Item,KgNone,Rabbit on a Stick,,,,
RabbitonaStickDesc,items,Item,KgNone,Nothing like some Rabbit Kabobs,Rien de tel que des lapins de lapin,Nichts wie einige Kaninchen Kabobs,,Nada como algunos Kabobs de conejo
RabbitGrilled,items,Item,KgNone,Grilled Rabbit,,,,
RabbitGrilledDesc,items,Item,KgNone,Simple Rabbit Meat Grilled to perfection,Simple Rabbit Meat Grillé à la perfection,Einfache Kaninchenfleisch Gegrillt bis zur Perfektion,,Simple carne de conejo a la parrilla a la perfección
